table,column,type,nullable,default,pk,fk,notes
sucursal,id,bigserial,NO,,YES,,PK
sucursal,nombre,varchar(120),NO,,,,Unique per business rules
sucursal,direccion,varchar(200),YES,,,,
sucursal,telefono,varchar(50),YES,,,,
sucursal,activo,boolean,NO,true,,,
box,id,bigserial,NO,,YES,,PK
box,sucursal_id,bigint,NO,,,sucursal(id),A box belongs to one sucursal
box,nombre,varchar(80),NO,,,,
box,activo,boolean,NO,true,,,
profesional,id,bigserial,NO,,YES,,PK
profesional,nombre,varchar(150),NO,,,,
profesional,tipo_profesional,varchar(80),NO,,,,"Ej: Kinesiólogo, Cosmetóloga"
profesional,bio,text,YES,,,,
profesional,foto_url,text,YES,,,,
profesional,activo,boolean,NO,true,,,
ficha,id,bigserial,NO,,YES,,PK
ficha,codigo,varchar(40),NO,,,,Search key / human-friendly
ficha,nombres,varchar(120),NO,,,,
ficha,apellidos,varchar(120),NO,,,,
ficha,rut,varchar(20),YES,,,,CL ID (optional)
ficha,telefono,varchar(50),YES,,,,
ficha,email,varchar(120),YES,,,,
ficha,fecha_creacion,timestamptz,NO,now(),,,
tipo_ficha_especifica,id,bigserial,NO,,YES,,PK
tipo_ficha_especifica,nombre,varchar(100),NO,,,,
tipo_ficha_especifica,descripcion,text,YES,,,,
ficha_especifica,id,bigserial,NO,,YES,,PK
ficha_especifica,ficha_id,bigint,NO,,,ficha(id),A ficha can have 1..n specific records
ficha_especifica,tipo_id,bigint,NO,,,tipo_ficha_especifica(id),Which form/template
ficha_especifica,datos,jsonb,NO,'{}'::jsonb,,,Arbitrary structured data
ficha_especifica,fecha_creacion,timestamptz,NO,now(),,,
tratamiento,id,bigserial,NO,,YES,,PK
tratamiento,nombre,varchar(150),NO,,,,
tratamiento,descripcion,text,YES,,,,
tratamiento,requiere_ficha_especifica,boolean,NO,false,,,"If true, venta must reference valid ficha_especifica matching required tipo"
pack,id,bigserial,NO,,YES,,PK
pack,tratamiento_id,bigint,NO,,,tratamiento(id),Pack belongs to one tratamiento
pack,nombre,varchar(150),NO,,,,
pack,descripcion,text,YES,,,,
pack,duracion_sesion_min,integer,NO,0,,,Default session duration (minutes)
pack,activo,boolean,NO,true,,,
evaluacion,id,bigserial,NO,,YES,,PK
evaluacion,ficha_id,bigint,NO,,,ficha(id),
evaluacion,tratamiento_id,bigint,NO,,,tratamiento(id),
evaluacion,pack_id,bigint,YES,,,pack(id),Optional if treatment uses packs
evaluacion,profesional_id,bigint,NO,,,profesional(id),Who performed evaluation
